epoch,step,test/Accuracy,test/F1score,test/IoU,test/Loss,test/Precision,test/Recall,train/Accuracy,train/F1score,train/IoU,train/Loss,train/Precision,train/Recall,val/Accuracy,val/F1score,val/IoU,val/Loss,val/Precision,val/Recall
0,5790,,,,,,,,,,,,,0.719723641872406,0.15916989743709564,0.08693049103021622,0.6716238856315613,0.15916989743709564,0.15916989743709564
0,5790,,,,,,,0.7172518968582153,0.1517566740512848,0.08254441618919373,0.7436392307281494,0.1517566740512848,0.1517566740512848,,,,,,
1,11581,,,,,,,,,,,,,0.7196468710899353,0.15894216299057007,0.08677355945110321,0.6705480217933655,0.15894216299057007,0.15894216299057007
1,11581,,,,,,,0.7172526121139526,0.15175886452198029,0.08254634588956833,0.7425904273986816,0.15175886452198029,0.15175886452198029,,,,,,
2,17372,,,,,,,,,,,,,0.7197228670120239,0.1591680496931076,0.08692124485969543,0.6718645095825195,0.1591680496931076,0.1591680496931076
2,17372,,,,,,,0.7172485589981079,0.15174603462219238,0.0825357660651207,0.7421681880950928,0.15174603462219238,0.15174603462219238,,,,,,
3,23163,,,,,,,,,,,,,0.7197080254554749,0.15912173688411713,0.08691595494747162,0.6704702377319336,0.15912173688411713,0.15912173688411713
3,23163,,,,,,,0.7172600626945496,0.15178099274635315,0.08255904167890549,0.7416620254516602,0.15178099274635315,0.15178099274635315,,,,,,
4,28954,,,,,,,,,,,,,0.7196093201637268,0.1588292419910431,0.08676836639642715,0.669202446937561,0.1588292419910431,0.1588292419910431
4,28954,,,,,,,0.7172593474388123,0.15178406238555908,0.08256298303604126,0.7420101761817932,0.15178406238555908,0.15178406238555908,,,,,,
5,28955,0.7199051976203918,0.1597161889076233,0.08729631453752518,0.6697537899017334,0.1597161889076233,0.1597161889076233,,,,,,,,,,,,
