loss,IoU,MA_IoU,accuracy,MA_accuracy,precision,MA_precision,recall,MA_recall,F1_score,MA_F1_score
1.3010340929031372,"[0.33112832903862, 0.3781128227710724, 0.14300717413425446, 0.0001537138014100492, 0.08597434312105179, 0.2842491865158081]",0.2037709355354309,"[0.8578741550445557, 0.6461544632911682, 0.932809054851532, 0.9920929074287415, 0.9160978198051453, 0.5899076461791992]",0.8224893808364868,"[0.5792869329452515, 0.4872739315032959, 0.5070363879203796, 0.004529139958322048, 0.5002981424331665, 0.4083133637905121]",0.4144563376903534,"[0.4359736442565918, 0.6279516220092773, 0.1661016047000885, 0.00015908863861113787, 0.09405065327882767, 0.4833391010761261]",0.30126261711120605,"[0.4975148141384125, 0.5487396121025085, 0.2502293288707733, 0.000307314854580909, 0.1583355963230133, 0.4426693022251129]",0.3489079475402832
1.0336883068084717,"[0.4455687701702118, 0.5026563405990601, 0.3489448130130768, 0.0, 0.3363416790962219, 0.36803099513053894]",0.33359044790267944,"[0.8876391649246216, 0.7569990754127502, 0.9441573023796082, 0.9923588633537292, 0.9313538670539856, 0.6714217066764832]",0.8639883399009705,"[0.6863040924072266, 0.6271836757659912, 0.6209485530853271, 0.0, 0.6405275464057922, 0.5111842155456543]",0.5143580436706543,"[0.5595211386680603, 0.7168449759483337, 0.4433914124965668, 0.0, 0.4146016240119934, 0.5678848624229431]",0.45037397742271423,"[0.6164609789848328, 0.6690230965614319, 0.5173591375350952, 0.0, 0.503376305103302, 0.5380443334579468]",0.4802436828613281
0.9537979960441589,"[0.48616716265678406, 0.5348303318023682, 0.3896040916442871, 0.0, 0.3966066539287567, 0.39428186416625977]",0.3669150471687317,"[0.8978882431983948, 0.7793771028518677, 0.9478671550750732, 0.9923586845397949, 0.9385436773300171, 0.6923616528511047]",0.8747328519821167,"[0.7212496995925903, 0.6582826375961304, 0.6501470804214478, 0.0, 0.6924698948860168, 0.5394845604896545]",0.5436056852340698,"[0.5986506938934326, 0.7403855919837952, 0.4929521381855011, 0.0, 0.48139792680740356, 0.5943058133125305]",0.48461538553237915,"[0.6542559266090393, 0.6969238519668579, 0.5607407093048096, 0.0, 0.5679571628570557, 0.5655693411827087]",0.5124178528785706
0.9047759771347046,"[0.5038715600967407, 0.5605382323265076, 0.41908949613571167, 0.0, 0.43684056401252747, 0.41582322120666504]",0.3893605172634125,"[0.9028160572052002, 0.7952300906181335, 0.9508059620857239, 0.9923587441444397, 0.9430271983146667, 0.7090736627578735]",0.882218599319458,"[0.7409991025924683, 0.6792266964912415, 0.6737907528877258, 0.0, 0.7191962599754333, 0.5625095367431641]",0.5626204013824463,"[0.6115821003913879, 0.7623478770256042, 0.5257664918899536, 0.0, 0.5266696214675903, 0.6145826578140259]",0.5068248510360718,"[0.6700986623764038, 0.7183904051780701, 0.5906450748443604, 0.0, 0.6080566644668579, 0.5873938202857971]",0.5332666635513306
0.8749498724937439,"[0.5208487510681152, 0.5727179646492004, 0.428717702627182, 0.0, 0.461768239736557, 0.4246326982975006]",0.401447594165802,"[0.9071930646896362, 0.8021812438964844, 0.9519588947296143, 0.9923588633537292, 0.945766031742096, 0.7163914442062378]",0.8859750032424927,"[0.7574540972709656, 0.6877873539924622, 0.684839129447937, 0.0, 0.7341197729110718, 0.5730171799659729]",0.5728696584701538,"[0.625105082988739, 0.7739205360412598, 0.5340909361839294, 0.0, 0.5545041561126709, 0.6211844086647034]",0.5181342363357544,"[0.6849443912506104, 0.7283157706260681, 0.6001428961753845, 0.0, 0.6317935585975647, 0.5961289405822754]",0.54412841796875
0.85489821434021,"[0.5306707620620728, 0.5798607468605042, 0.44865041971206665, 0.0019931585993617773, 0.4761841893196106, 0.4328223168849945]",0.4116969108581543,"[0.9092642068862915, 0.8063939213752747, 0.953813374042511, 0.9923382997512817, 0.9475533366203308, 0.7232229113578796]",0.8887643814086914,"[0.7625630497932434, 0.6932999491691589, 0.6979114413261414, 0.2989209294319153, 0.7462410926818848, 0.5830551385879517]",0.6303319334983826,"[0.6357114911079407, 0.7799248099327087, 0.5567741394042969, 0.002002519788220525, 0.5681889057159424, 0.6268361806869507]",0.5282396674156189,"[0.6933827996253967, 0.7340651750564575, 0.619404137134552, 0.0039783744141459465, 0.6451550722122192, 0.6041530966758728]",0.5747871994972229
0.8267534375190735,"[0.5454556941986084, 0.5928120017051697, 0.4631296694278717, 0.04723171517252922, 0.5055355429649353, 0.44517186284065247]",0.43322277069091797,"[0.9125520586967468, 0.8147715926170349, 0.9550789594650269, 0.9919770359992981, 0.9507530927658081, 0.7324382066726685]",0.8929284811019897,"[0.7719554305076599, 0.7060166001319885, 0.7055780291557312, 0.33783283829689026, 0.7624745965003967, 0.5963819026947021]",0.6467065811157227,"[0.650229811668396, 0.787105143070221, 0.5740709900856018, 0.05205034092068672, 0.6000308394432068, 0.6371270418167114]",0.5501023530960083,"[0.7058828473091125, 0.7443585395812988, 0.633066713809967, 0.09020275622606277, 0.6715686321258545, 0.6160810589790344]",0.5945051312446594
0.8092250227928162,"[0.5621163845062256, 0.5990471243858337, 0.47673502564430237, 0.07337350398302078, 0.5297737717628479, 0.4511856734752655]",0.44870519638061523,"[0.916447639465332, 0.8182982802391052, 0.9566072821617126, 0.992152750492096, 0.9533441066741943, 0.7375591397285461]",0.8957349061965942,"[0.784730076789856, 0.7105883955955505, 0.7193432450294495, 0.4288647174835205, 0.7744516134262085, 0.6043559312820435]",0.6703890562057495,"[0.6645986437797546, 0.7923721075057983, 0.5856705904006958, 0.08131958544254303, 0.6264243721961975, 0.6403161883354187]",0.5651168823242188,"[0.7196852564811707, 0.7492547035217285, 0.6456603407859802, 0.13671542704105377, 0.6926166415214539, 0.6218161582946777]",0.6132676005363464
0.7839006781578064,"[0.5819981694221497, 0.6055742502212524, 0.5042390823364258, 0.10946090519428253, 0.5474354028701782, 0.46494510769844055]",0.46894216537475586,"[0.9207422137260437, 0.8234973549842834, 0.9591103196144104, 0.9921624660491943, 0.9551084041595459, 0.7464422583580017]",0.8995105624198914,"[0.7963229417800903, 0.7209580540657043, 0.7352379560470581, 0.4537436068058014, 0.7803764343261719, 0.6167082786560059]",0.683891236782074,"[0.6837856769561768, 0.7909627556800842, 0.6161116361618042, 0.126074880361557, 0.6471375226974487, 0.6539027094841003]",0.5863292217254639,"[0.7357755899429321, 0.7543392777442932, 0.6704236268997192, 0.19732233881950378, 0.7075384259223938, 0.6347605586051941]",0.6313629746437073
0.7640413641929626,"[0.5880851745605469, 0.6191924810409546, 0.5153274536132812, 0.13554196059703827, 0.5583058595657349, 0.47632238268852234]",0.48212921619415283,"[0.9220228791236877, 0.8315020799636841, 0.9602358341217041, 0.9921807646751404, 0.9562636017799377, 0.7538189888000488]",0.9026707410812378,"[0.7995059490203857, 0.7328634858131409, 0.7440845966339111, 0.46613699197769165, 0.7853691577911377, 0.6271049380302429]",0.6925108432769775,"[0.6898161172866821, 0.7996826171875, 0.6263386011123657, 0.1604493409395218, 0.6588282585144043, 0.664544939994812]",0.5999433398246765,"[0.7406211495399475, 0.7648159861564636, 0.6801527738571167, 0.23872609436511993, 0.7165544629096985, 0.6452818512916565]",0.6429116725921631
